run_id,condition,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,ID,rt,stimulus,response,trial_category,stimulus_name,recorded_at,ip,user_agent,device,browser,browser_version,platform,platform_version,source_code_version
16,1,true,false,[],[],[],preload,0,21307,0.0-0.0,bwd19ywzf,"""","""","""","""","""","2022-01-23 08:39:13",66.189.167.229,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36",WebKit,Chrome,97.0.4692.71,Windows,10.0,e51aad313ae019d9205a5db3bc498b86
16,1,"""","""","""","""","""",html-keyboard-response,1,23362,0.0-1.0,bwd19ywzf,2050,"<p style=""text-align:center;width:700px;""> Welcome to the experiment! This study takes most people around 20 minutes to complete. Please complete it in one sitting.</p>"," ","""","""","2022-01-23 08:39:13",66.189.167.229,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36",WebKit,Chrome,97.0.4692.71,Windows,10.0,e51aad313ae019d9205a5db3bc498b86
16,1,"""","""","""","""","""",html-keyboard-response,2,26540,0.0-2.0,bwd19ywzf,3177,"<p style = ""font-size:16px;"">MIT Computational Cognitive Science Lab</p><h4>Press the 'y' key to consent.</h4><div style = ""background-color:#f2f2f2;""><h3>Informed Consent Form</h3><div style=""text-align:left;width:700px;""><p style = ""font-size:16px;"">In this HIT, you will be asked to read a set of instructions that describe a particular scenario, and you will then be asked to perform a simple task relating to that scenario. There will also be comprehension and attention checks. Participants who do not answer these checks correctly cannot be approved. In order to get credit for this HIT, you must read all the questions fully and answer honestly. You may only complete this HIT once. If you complete this HIT multiple times, you will be rejected.</p><p style = ""font-size:16px;"">This HIT is part of a MIT scientific research project. Your decision to complete this HIT is voluntary. There is no way for us to identify you. The only information we will have, in addition to your responses, is the time at which you completed the survey. The results of the research may be presented at scientific meetings or published in scientific journals. Pressing the ""Y"" key indicates that you are at least 18 years of age, and agree to complete this HIT voluntarily. Press the ""Y"" key to confirm your agreement and continue.</p></div>",y,"""","""","2022-01-23 08:39:13",66.189.167.229,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36",WebKit,Chrome,97.0.4692.71,Windows,10.0,e51aad313ae019d9205a5db3bc498b86
16,1,"""","""","""","""","""",survey-text,3,95401,0.0-3.0,bwd19ywzf,68836,"""","{""instructions1"":""Collect water from a water source and bring it back to the wooden storage buckets""}",instructions,"""","2022-01-23 08:39:13",66.189.167.229,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36",WebKit,Chrome,97.0.4692.71,Windows,10.0,e51aad313ae019d9205a5db3bc498b86
16,1,"""","""","""","""","""",survey-text,4,159275,0.0-4.0,bwd19ywzf,63868,"""","{""instructions2"":""when all 8 people collect water and store it in a wooden storage bucket.""}",instructions,"""","2022-01-23 08:39:13",66.189.167.229,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36",WebKit,Chrome,97.0.4692.71,Windows,10.0,e51aad313ae019d9205a5db3bc498b86
16,1,"""","""","""","""","""",survey-text,5,194265,0.0-5.0,bwd19ywzf,34981,"""","{""instructions3"":""one""}",instructions,"""","2022-01-23 08:39:13",66.189.167.229,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36",WebKit,Chrome,97.0.4692.71,Windows,10.0,e51aad313ae019d9205a5db3bc498b86
16,1,"""","""","""","""","""",survey-text,6,281145,0.0-6.0,bwd19ywzf,86866,"""","{""Q0"":""morally unacceptable because they jumped the queue.""}",explanation,video/yes_line_10_1cut.mp4,"2022-01-23 08:39:13",66.189.167.229,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36",WebKit,Chrome,97.0.4692.71,Windows,10.0,e51aad313ae019d9205a5db3bc498b86
16,1,"""","""","""","""","""",video-button-response,7,309413,0.0-7.0,bwd19ywzf,28269,"[""video/no_line_1_1cut.mp4""]",1,no_1,video/no_line_1_1cut.mp4,"2022-01-23 08:39:13",66.189.167.229,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36",WebKit,Chrome,97.0.4692.71,Windows,10.0,e51aad313ae019d9205a5db3bc498b86
16,1,"""","""","""","""","""",video-button-response,8,408769,0.0-8.0,bwd19ywzf,99345,"[""video/yes_line_10_3cut.mp4""]",1,yes_34,video/yes_line_10_3cut.mp4,"2022-01-23 08:39:13",66.189.167.229,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36",WebKit,Chrome,97.0.4692.71,Windows,10.0,e51aad313ae019d9205a5db3bc498b86
16,1,"""","""","""","""","""",video-button-response,9,454624,0.0-9.0,bwd19ywzf,45853,"[""video/yes_line_7_1cut.mp4""]",1,yes_1,video/yes_line_7_1cut.mp4,"2022-01-23 08:39:13",66.189.167.229,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36",WebKit,Chrome,97.0.4692.71,Windows,10.0,e51aad313ae019d9205a5db3bc498b86
