stimulus_name,count_1,count_total
"""",0,430.0
yes_line_9_8cut,45,58.0
yes_line_10_3cut,28,58.0
no_line_3_8cut,56,58.0
yes_line_10_1cut,13,58.0
yes_line_7_8cut,44,58.0
no_line_1_8cut,55,58.0
yes_line_8_3cut,39,58.0
yes_line_8_1cut,15,58.0
no_line_2_1cut,52,58.0
yes_line_7_4cut,18,58.0
no_line_2_4cut,58,58.0
yes_line_9_3cut,48,58.0
no_line_2_8cut,55,58.0
yes_line_8_8cut,43,58.0
no_line_3_1cut,52,58.0
yes_line_9_1cut,26,58.0
yes_line_10_8cut,35,58.0
no_line_1_3cut,56,58.0
no_line_1_1cut,51,58.0
no_line_3_3cut,54,58.0
yes_line_7_1cut,11,58.0
