run_id,response
10,"{""instructions1"":""To collect water from a water source and bring it back to the wooden storage buckets.""}"
10,"{""instructions2"":""When all 8 people collect water and store it in a wooden storage bucket.""}"
10,"{""instructions3"":""One""}"
11,"{""instructions1"":""To collect water and bring it back.""}"
11,"{""instructions2"":""When all 8 people collect the water and store it.""}"
11,"{""instructions3"":""1""}"
13,"{""instructions1"":""Collect water from a water source and bring it back to the wooden storage buckets.""}"
13,"{""instructions2"":""When all 8 people collect water and store it in a wooden storage bucket.""}"
13,"{""instructions3"":""1""}"
14,"{""instructions1"":""bring water from the source to the wooden buckets""}"
14,"{""instructions2"":""after  ppl have carried water to the storage""}"
14,"{""instructions3"":""one""}"
15,"{""instructions1"":""Collect water faster to get more points and win the game ""}"
15,"{""instructions2"":""When all 8 people collect water and store it in a wooden storage bucket. ""}"
15,"{""instructions3"":""One person""}"
17,"{""instructions1"":""collect water fast so they can collect more points""}"
17,"{""instructions2"":""When all 8 people have collected water and store it in a wooden storage bucket.""}"
17,"{""instructions3"":""The specific person we are shown an image of""}"
18,"{""instructions1"":""collect a bucket of water as fast as possible""}"
18,"{""instructions2"":""when all 8 people collect water and put it in the bucket""}"
18,"{""instructions3"":""1""}"
25,"{""instructions1"":""To collect a bucket of water""}"
25,"{""instructions2"":""When all 8 people collect water and store it in a wooden storage bucket""}"
25,"{""instructions3"":""1""}"
20,"{""instructions1"":""To collect one bucket of water from a source and bring it back to a wooden storage bucket.""}"
20,"{""instructions2"":""When all 8 people collect a bucket of water and bring it back to the wooden storage.""}"
20,"{""instructions3"":""Only one. I will be shown the specific person to watch during each video.""}"
19,"{""instructions1"":""collect water from a water source and bring it back to the wooden storage buckets""}"
19,"{""instructions2"":""when all 8 people collect water and store it in a wooden storage bucket""}"
19,"{""instructions3"":""1""}"
23,"{""instructions1"":""Collect water from a water source and bring it back to the wooden storage buckets.""}"
23,"{""instructions2"":""When all 8 people collect water and store it in a wooden storage bucket.""}"
23,"{""instructions3"":""1""}"
2,"{""instructions1"":""collects the bucket of water fastly""}"
2,"{""instructions2"":""when all 8 people collect water and store it in a wooden storage bucket.""}"
2,"{""instructions3"":""1""}"
21,"{""instructions1"":""get water""}"
21,"{""instructions2"":""when all the people collect the water""}"
21,"{""instructions3"":""one""}"
31,"{""instructions1"":""Everyone in the game is trying to collect water from a water source and bring it back to the wooden storage buckets. Each person needs to collect one bucket of water for each level. The faster a person collects the bucket of water, the more points they receive.""}"
31,"{""instructions2"":""Each video will end when all 8 people collect water and store it in a wooden storage bucket.""}"
31,"{""instructions3"":""1""}"
33,"{""instructions1"":""To collect water from a water source and bring it back to the wooden storage buckets""}"
33,"{""instructions2"":""All 8 people collect water and store it in a wooden storage bucket.""}"
33,"{""instructions3"":""1""}"
35,"{""instructions1"":""To collect water and bring it back to storage for points.""}"
35,"{""instructions2"":""Each video ends when all 8 people collect water and store it in a wooden storage bucket.""}"
35,"{""instructions3"":""8 people are focused on to judge in each video.""}"
28,"{""instructions1"":""Collect a bucket of water.""}"
28,"{""instructions2"":""When all players have deposited their water in the buckets.""}"
28,"{""instructions3"":""1""}"
27,"{""instructions1"":""to collect water""}"
27,"{""instructions2"":""when all people store their water""}"
27,"{""instructions3"":""1""}"
37,"{""instructions1"":""Each person needs to collect one bucket of water for each level.""}"
37,"{""instructions2"":""When all 8 people collect water and store it in a wooden storage bucket.""}"
37,"{""instructions3"":""one""}"
36,"{""instructions1"":""They collect bucket of water to earn points.""}"
36,"{""instructions2"":""Each video will end when all 8 people collect water and store it in a wooden storage bucket.""}"
36,"{""instructions3"":""one person""}"
4,"{""instructions1"":""Collect water and bring it to the wooden storage buckets""}"
4,"{""instructions2"":""When all 8 people collect water and store it in a bucket""}"
4,"{""instructions3"":""one""}"
38,"{""instructions1"":""collect a bucket of water and get points""}"
38,"{""instructions2"":""when all 8 people collect and store a bucket of water""}"
38,"{""instructions3"":""1""}"
