run_id,response
12,"{""instructions1"":""collect water from a water source and bring it back to the wooden storage buckets""}"
12,"{""instructions2"":""when all 8 people collect water and store it in a wooden storage bucket.""}"
12,"{""instructions3"":""decide whether they will definitely stay in line or take opportunities to leave the line and head directly for the water source""}"
12,"{""instructions4"":""This is the only person who didn’t have to decide their strategy ahead of time""}"
16,"{""instructions1"":""bring water from the source to the storage""}"
16,"{""instructions2"":""when 8 people have brought water from source to the storage""}"
16,"{""instructions3"":""they have to decide to wait in line or head right for the source""}"
16,"{""instructions4"":""they didn't have to decide before hand what they are going to do""}"
18,"{""instructions1"":""The goal is for each person to collect water from the source and bring it back to the wooden storage buckets.""}"
18,"{""instructions2"":""When all eight people collect water and store it in the wooden storage bucket.""}"
18,"{""instructions3"":""Whether to wait in line or to leave it and head directly for the water source no matter where they were in the line.""}"
18,"{""instructions4"":""That person has the freedom of choice between staying in line or leaving it during the game, unlike the rest who have to choose before the game and cannot change their mind once the game starts.""}"
2,"{""instructions1"":""Collect water from a water source and bring it back to the wooden storage buckets.""}"
2,"{""instructions2"":""When all 8 people collect water and store it in a wooden storage bucket.""}"
2,"{""instructions3"":""Decide whether they will definitely stay in line or take opportunities to leave the line and head directly for the water source.""}"
2,"{""instructions4"":""They didn’t have to decide their strategy ahead of time.""}"
19,"{""instructions1"":""Everyone in the game is trying to collect water from a water source and bring it back to the wooden storage buckets. Each person needs to collect one bucket of water for each level.""}"
19,"{""instructions2"":""Each video will end when all 8 people collect water and store it in a wooden storage bucket.""}"
19,"{""instructions3"":""Players have to make a decision (without talking to each other) about how they will behave in that scene .Each player has to decide whether they will definitely stay in line or take opportunities to leave the line and head directly for the water source.""}"
19,"{""instructions4"":""This is the person whose actions you will judge as morally acceptable or morally unacceptable.""}"
14,"{""instructions1"":"" collect water from a water source and bring it back to the wooden storage buckets.""}"
14,"{""instructions2"":""when all 8 people collect water and store it in a wooden storage bucket.""}"
14,"{""instructions3"":""whether they will definitely stay in line or take opportunities to leave the line and head directly for the water source.""}"
14,"{""instructions4"":""This is the only person who didn’t have to decide their strategy ahead of time.""}"
