run_id,condition,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,ID,rt,stimulus,response,trial_category,stimulus_name,recorded_at,ip,user_agent,device,browser,browser_version,platform,platform_version,source_code_version
12,1,true,false,[],[],[],preload,0,751,0.0-0.0,ek64c2hy2,"""","""","""","""","""",2022-01-29 00:48:29,73.175.0.76,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,667187245be6ec34b92381730ecb5f9e
12,1,"""","""","""","""","""",html-keyboard-response,1,3783,0.0-1.0,ek64c2hy2,3028,"<p style=""text-align:center;width:700px;""> Welcome to the experiment! This study takes most people around 10 minutes to complete. Please complete it in one sitting.</p>", ,"""","""",2022-01-29 00:48:29,73.175.0.76,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,667187245be6ec34b92381730ecb5f9e
12,1,"""","""","""","""","""",html-keyboard-response,2,18982,0.0-2.0,ek64c2hy2,15199,"<p style = ""font-size:16px;"">MIT Computational Cognitive Science Lab</p><h4>Press the 'y' key to consent.</h4><div style = ""background-color:#f2f2f2;""><h3>Informed Consent Form</h3><div style=""text-align:left;width:700px;""><p style = ""font-size:16px;"">In this HIT, you will be asked to read a set of instructions that describe a particular scenario, and you will then be asked to perform a simple task relating to that scenario. There will also be comprehension and attention checks. Participants who do not answer these checks correctly cannot be approved. In order to get credit for this HIT, you must read all the questions fully and answer honestly. You may only complete this HIT once. If you complete this HIT multiple times, you will be rejected.</p><p style = ""font-size:16px;"">This HIT is part of a MIT scientific research project. Your decision to complete this HIT is voluntary. There is no way for us to identify you. The only information we will have, in addition to your responses, is the time at which you completed the survey. The results of the research may be presented at scientific meetings or published in scientific journals. Pressing the ""Y"" key indicates that you are at least 18 years of age, and agree to complete this HIT voluntarily. Press the ""Y"" key to confirm your agreement and continue.</p></div>",y,"""","""",2022-01-29 00:48:29,73.175.0.76,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,667187245be6ec34b92381730ecb5f9e
12,1,"""","""","""","""","""",survey-text,3,61756,0.0-3.0,ek64c2hy2,42763,"""","{""instructions1"":""collect water from a water source and bring it back to the wooden storage buckets""}",instructions,"""",2022-01-29 00:48:29,73.175.0.76,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,667187245be6ec34b92381730ecb5f9e
12,1,"""","""","""","""","""",survey-text,4,121126,0.0-4.0,ek64c2hy2,59359,"""","{""instructions2"":""when all 8 people collect water and store it in a wooden storage bucket.""}",instructions,"""",2022-01-29 00:48:29,73.175.0.76,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,667187245be6ec34b92381730ecb5f9e
12,1,"""","""","""","""","""",survey-text,5,173047,0.0-5.0,ek64c2hy2,51915,"""","{""instructions3"":""decide whether they will definitely stay in line or take opportunities to leave the line and head directly for the water source""}",instructions,"""",2022-01-29 00:48:29,73.175.0.76,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,667187245be6ec34b92381730ecb5f9e
12,1,"""","""","""","""","""",survey-text,6,280034,0.0-6.0,ek64c2hy2,106985,"""","{""instructions4"":""This is the only person who didn’t have to decide their strategy ahead of time""}",instructions,"""",2022-01-29 00:48:29,73.175.0.76,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,667187245be6ec34b92381730ecb5f9e
12,1,"""","""","""","""","""",video-button-response,7,313976,0.0-7.0,ek64c2hy2,33935,"[""video/yes_line_7_1cut.mp4""]",1,yes_1,video/yes_line_7_1cut.mp4,2022-01-29 00:48:29,73.175.0.76,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,667187245be6ec34b92381730ecb5f9e
12,1,"""","""","""","""","""",video-button-response,8,346077,0.0-8.0,ek64c2hy2,32097,"[""video/no_line_1_1cut.mp4""]",1,no_1,video/no_line_1_1cut.mp4,2022-01-29 00:48:29,73.175.0.76,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,667187245be6ec34b92381730ecb5f9e
12,1,"""","""","""","""","""",video-button-response,9,377031,0.0-9.0,ek64c2hy2,30950,"[""video/no_line_1_0cut.mp4""]",1,no_0,video/no_line_1_0cut.mp4,2022-01-29 00:48:29,73.175.0.76,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,667187245be6ec34b92381730ecb5f9e
