run_id,response
12,"{""instructions1"":""To collect water from a water source and bring it back to the wooden storage bucket, and the faster they do it, the more points they receive.""}"
12,"{""instructions2"":""One""}"
12,"{""instructions4"":""Think about what would happen if everyone felt at liberty to leave the line and try to get water faster for themselves, instead of staying in line. Then answer if it was better or worse if everyone stayed in line.""}"
10,"{""instructions1"":""collect water""}"
10,"{""instructions2"":""1""}"
10,"{""instructions4"":""Everyone feeling at liberty to leave and how that will affect everyone""}"
15,"{""instructions1"":""collect water from a water source and bring it back to the wooden storage buckets""}"
15,"{""instructions2"":""1""}"
15,"{""instructions4"":""what would happen if EVERYONE felt at liberty to leave the line and how much better or worse off everyone would be if everyone stayed in line""}"
17,"{""instructions1"":""Collect water and place it in the wooden bucket.""}"
17,"{""instructions2"":""1""}"
17,"{""instructions4"":""How everyone else would feel in regards to staying in line or leaving the line.""}"
18,"{""instructions1"":""Each person needs to collect one bucket of water for each level the fastest for more points.""}"
18,"{""instructions2"":""One""}"
18,"{""instructions4"":""What would happen if everyone left the line instead of staying in line. Then how much better or worse it would be if everyone did stay in line.""}"
19,"{""instructions1"":""get water in wooden bucket""}"
19,"{""instructions2"":""1""}"
19,"{""instructions4"":""what happens if all leave and better or worse to stay in line""}"
2,"{""instructions1"":""To get one bucket of water and return it as fast as they can""}"
2,"{""instructions2"":""1""}"
2,"{""instructions4"":""What would happen if everyone left the line, and how better or worse it'd be if everyone stayed in line.""}"
25,"{""instructions1"":""collect water and store in bucket as fast as possible""}"
25,"{""instructions2"":""one""}"
25,"{""instructions4"":""what would happen if everyone left the line and if it would be better or worse if they stayed in line""}"
23,"{""instructions1"":""The goal is for everyone to collect water from a source and then bring it back to storage buckets quickly.""}"
23,"{""instructions2"":""1""}"
23,"{""instructions4"":""What would happen if everyone could leave the line and quickly get water for themselves. Also, how much better or worse off everyone would be if everyone stayed in line.""}"
20,"{""instructions1"":""To collect water and bring it back to the wooden storage buckets.""}"
20,"{""instructions2"":""one""}"
