run_id,ID,trial_type,stimulus_name,response,trial_category
12,semep0hq8,preload,"""","""",""""
12,semep0hq8,html-keyboard-response,"""", ,""""
12,semep0hq8,html-keyboard-response,"""",y,""""
12,semep0hq8,survey-text,"""","{""instructions1"":""To collect water from a water source and bring it back to the wooden storage bucket, and the faster they do it, the more points they receive.""}",instructions
12,semep0hq8,survey-text,"""","{""instructions2"":""One""}",instructions
12,semep0hq8,survey-text,"""","{""instructions4"":""Think about what would happen if everyone felt at liberty to leave the line and try to get water faster for themselves, instead of staying in line. Then answer if it was better or worse if everyone stayed in line.""}",instructions
12,semep0hq8,video-slider-response,maybe_line_new_6_1cut,-50,maybe_1
12,semep0hq8,video-slider-response,yes_line_8_1cut,-50,yes_1
12,semep0hq8,video-slider-response,no_line_1_1cut,50,no_1
12,semep0hq8,video-slider-response,no_line_2_1cut,50,no_1
12,semep0hq8,video-slider-response,maybe_line_new_2_1cut,50,maybe_1
12,semep0hq8,video-slider-response,maybe_line_new_5_1cut,-50,maybe_1
12,semep0hq8,video-slider-response,yes_line_9_1cut,-50,yes_1
12,semep0hq8,video-slider-response,maybe_line_new_3_1cut,50,maybe_1
12,semep0hq8,video-slider-response,maybe_line_new_4_1cut,-50,maybe_1
12,semep0hq8,video-slider-response,maybe_line_new_1_1cut,-50,maybe_1
12,semep0hq8,video-slider-response,no_line_3_1cut,50,no_1
12,semep0hq8,video-slider-response,yes_line_7_1cut,-50,yes_1
12,semep0hq8,video-slider-response,yes_line_10_1cut,-50,yes_1
12,semep0hq8,survey-html-form,"""","[{""name"":""understand"",""value"":""yes""},{""name"":""problems"",""value"":""No problems at all!""},{""name"":""age"",""value"":""44""},{""name"":""gender"",""value"":""male""},{""name"":""comments"",""value"":""MTURK ID:   A2VAL2BRKVSUB5""}]",debrief
12,semep0hq8,html-keyboard-response,"""", ,""""
10,rhhm6gcs8,preload,"""","""",""""
10,rhhm6gcs8,html-keyboard-response,"""", ,""""
10,rhhm6gcs8,html-keyboard-response,"""",y,""""
10,rhhm6gcs8,survey-text,"""","{""instructions1"":""collect water""}",instructions
10,rhhm6gcs8,survey-text,"""","{""instructions2"":""1""}",instructions
10,rhhm6gcs8,survey-text,"""","{""instructions4"":""Everyone feeling at liberty to leave and how that will affect everyone""}",instructions
10,rhhm6gcs8,video-slider-response,maybe_line_new_5_1cut,-40,maybe_1
10,rhhm6gcs8,video-slider-response,yes_line_7_1cut,0,yes_1
10,rhhm6gcs8,video-slider-response,yes_line_9_1cut,-21,yes_1
10,rhhm6gcs8,video-slider-response,no_line_2_1cut,0,no_1
10,rhhm6gcs8,video-slider-response,maybe_line_new_6_1cut,0,maybe_1
10,rhhm6gcs8,video-slider-response,yes_line_10_1cut,-26,yes_1
10,rhhm6gcs8,video-slider-response,no_line_3_1cut,-25,no_1
10,rhhm6gcs8,video-slider-response,maybe_line_new_1_1cut,-28,maybe_1
10,rhhm6gcs8,video-slider-response,maybe_line_new_4_1cut,-24,maybe_1
10,rhhm6gcs8,video-slider-response,maybe_line_new_2_1cut,0,maybe_1
10,rhhm6gcs8,video-slider-response,yes_line_8_1cut,-30,yes_1
10,rhhm6gcs8,video-slider-response,maybe_line_new_3_1cut,-20,maybe_1
10,rhhm6gcs8,video-slider-response,no_line_1_1cut,0,no_1
10,rhhm6gcs8,survey-html-form,"""","[{""name"":""understand"",""value"":""yes""},{""name"":""problems"",""value"":""No""},{""name"":""age"",""value"":""45""},{""name"":""gender"",""value"":""female""},{""name"":""comments"",""value"":""No""}]",debrief
10,rhhm6gcs8,html-keyboard-response,"""", ,""""
15,6t4mp6pdc,preload,"""","""",""""
15,6t4mp6pdc,html-keyboard-response,"""", ,""""
15,6t4mp6pdc,html-keyboard-response,"""",y,""""
15,6t4mp6pdc,survey-text,"""","{""instructions1"":""collect water from a water source and bring it back to the wooden storage buckets""}",instructions
15,6t4mp6pdc,survey-text,"""","{""instructions2"":""1""}",instructions
