run_id,response
11,"{""instructions1"":""Collect water from a water source and bring it back to the wooden storage buckets.""}"
11,"{""instructions2"":""one""}"
11,"{""instructions3"":""Think about how everyone is slowed down because of a line cutter""}"
12,"{""instructions1"":""how has everyone slowed down by someone leaving the line""}"
12,"{""instructions2"":""1""}"
12,"{""instructions3"":""people can stay in line or leave ""}"
14,"{""instructions1"":"" to collect water from a water source and bring it back to the wooden storage buckets""}"
14,"{""instructions2"":""one""}"
14,"{""instructions3"":"" how much everyone will be slowed down as a result of their decision to leave the line""}"
16,"{""instructions1"":""collect one bucket of water for each level""}"
16,"{""instructions2"":""one""}"
16,"{""instructions3"":""how much everyone will be slowed down as a result of their decision""}"
17,"{""instructions1"":""To collect water from a water source and bring it back to the wooden storage buckets.""}"
17,"{""instructions2"":""one""}"
17,"{""instructions3"":""to think about how much everyone will be slowed down as a result of their decision. ""}"
19,"{""instructions1"":""They need to collect water water from water source in buckets and earn points. ""}"
19,"{""instructions2"":""Each person can move one square per time step in one of the four cardinal directions.""}"
19,"{""instructions3"":""I need to think about how much everyone will be slowed down as a result decision of other people leaving the line.""}"
23,"{""instructions1"":""Fill water storage with buckets""}"
23,"{""instructions2"":""1""}"
23,"{""instructions3"":""How much everyone was slowed down.""}"
22,"{""instructions1"":""to bring water back to wooden storage buckets.""}"
22,"{""instructions2"":""one""}"
22,"{""instructions3"":""How much the rest of the people will be slowed down.""}"
21,"{""instructions1"":""to collect water ""}"
21,"{""instructions2"":""one""}"
21,"{""instructions3"":""How much everyone will be slowed down as a result of someone leaving the line""}"
24,"{""instructions1"":""collecting one bucket of water""}"
24,"{""instructions2"":""1""}"
24,"{""instructions3"":""how much they slowed down""}"
25,"{""instructions1"":""collect water""}"
25,"{""instructions2"":""one""}"
25,"{""instructions3"":""How much people will be slowed down when one person leaves the line to collect water                                 ""}"
27,"{""instructions1"":""collect one bucket of water""}"
27,"{""instructions2"":""one""}"
27,"{""instructions3"":""how much everyone will be slowed down""}"
28,"{""instructions1"":""collect water from the source, and bring it back to the storage buckets.""}"
28,"{""instructions2"":""1""}"
28,"{""instructions3"":""how much everyone is slowed down by one person decision to leave the line.""}"
