run_id,ID,trial_type,stimulus_name,response,trial_category
11,x7qy5qm7b,preload,"""","""",""""
11,x7qy5qm7b,html-keyboard-response,"""", ,""""
11,x7qy5qm7b,html-keyboard-response,"""",y,""""
11,x7qy5qm7b,survey-text,"""","{""instructions1"":""Collect water from a water source and bring it back to the wooden storage buckets.""}",instructions
11,x7qy5qm7b,survey-text,"""","{""instructions2"":""one""}",instructions
11,x7qy5qm7b,survey-text,"""","{""instructions3"":""Think about how everyone is slowed down because of a line cutter""}",instructions
11,x7qy5qm7b,video-slider-response,yes_line_8_1cut,-12,yes_1
11,x7qy5qm7b,video-slider-response,yes_line_9_1cut,0,yes_1
11,x7qy5qm7b,video-slider-response,maybe_line_new_3_1cut,0,maybe_1
11,x7qy5qm7b,video-slider-response,yes_line_10_1cut,-50,yes_1
11,x7qy5qm7b,video-slider-response,maybe_line_new_5_1cut,-22,maybe_1
11,x7qy5qm7b,video-slider-response,maybe_line_new_1_1cut,28,maybe_1
11,x7qy5qm7b,video-slider-response,no_line_2_1cut,45,no_1
11,x7qy5qm7b,video-slider-response,yes_line_7_1cut,0,yes_1
11,x7qy5qm7b,video-slider-response,maybe_line_new_4_1cut,-10,maybe_1
11,x7qy5qm7b,video-slider-response,no_line_3_1cut,31,no_1
11,x7qy5qm7b,video-slider-response,maybe_line_new_6_1cut,-30,maybe_1
11,x7qy5qm7b,video-slider-response,maybe_line_new_2_1cut,31,maybe_1
11,x7qy5qm7b,video-slider-response,no_line_1_1cut,33,no_1
11,x7qy5qm7b,survey-html-form,"""","[{""name"":""understand"",""value"":""yes""},{""name"":""problems"",""value"":""No""},{""name"":""age"",""value"":""25""},{""name"":""gender"",""value"":""male""},{""name"":""comments"",""value"":""}]",debrief
11,x7qy5qm7b,survey-text,"""","{""Q0"":""x7qy5qm7b""}",""""
12,hvr4p6vlz,preload,"""","""",""""
12,hvr4p6vlz,html-keyboard-response,"""", ,""""
12,hvr4p6vlz,html-keyboard-response,"""",y,""""
12,hvr4p6vlz,survey-text,"""","{""instructions1"":""how has everyone slowed down by someone leaving the line""}",instructions
12,hvr4p6vlz,survey-text,"""","{""instructions2"":""1""}",instructions
